event_ts,feature_key,scope,oblast,value_bool
2023-12-08T04:25:10+00:00,tu_95_takeoff,national,,true
2023-12-08T08:04:17+00:00,mass_attack_active,oblast,dnipropetrovsk,true
2023-12-08T08:04:17+00:00,tu_95_takeoff,national,,false
2023-12-10T08:17:53+00:00,mig_31_airborne,national,,true
2023-12-11T03:34:26+00:00,mass_attack_active,oblast,kyiv,true
2023-12-13T04:58:20+00:00,mass_attack_active,oblast,kyiv,true
2023-12-14T18:38:30+00:00,mass_attack_active,oblast,khmelnytskyi,true
2023-12-14T18:38:30+00:00,mig_31_airborne,national,,true
2023-12-20T18:25:25+00:00,mig_31_airborne,national,,true
2023-12-20T19:08:03+00:00,mig_31_airborne,national,,false
2023-12-22T11:50:43+00:00,mig_31_airborne,national,,true
2023-12-25T08:33:29+00:00,mig_31_airborne,national,,true
2023-12-26T09:17:49+00:00,mig_31_airborne,national,,false
2023-12-26T10:54:39+00:00,mig_31_airborne,national,,false
2023-12-27T09:55:43+00:00,mig_31_airborne,national,,true
2023-12-27T10:11:32+00:00,mig_31_airborne,national,,false
2023-12-28T07:23:25+00:00,mig_31_airborne,national,,true
2023-12-29T01:30:37+00:00,tu_95_takeoff,national,,true
2023-12-29T04:34:00+00:00,tu_95_takeoff,national,,true
2023-12-29T09:01:46+00:00,mass_attack_active,national,,true
2023-12-29T09:02:10+00:00,mass_attack_active,national,,true
2023-12-29T09:02:10+00:00,mig_31_airborne,national,,true
2023-12-29T09:02:10+00:00,tu_95_takeoff,national,,true
2023-12-30T08:30:54+00:00,mig_31_airborne,national,,true
2023-12-30T09:57:17+00:00,mig_31_airborne,national,,false
2023-12-31T08:44:08+00:00,mig_31_airborne,national,,true
2023-12-31T11:26:11+00:00,mig_31_airborne,national,,true
2023-12-31T12:15:07+00:00,mig_31_airborne,national,,false
2023-12-31T18:06:19+00:00,mig_31_airborne,national,,true
2023-12-31T19:33:55+00:00,mig_31_airborne,national,,false
2024-01-01T09:21:41+00:00,mig_31_airborne,national,,true
2024-01-01T11:55:10+00:00,mig_31_airborne,national,,false
2024-01-01T12:57:23+00:00,mig_31_airborne,national,,true
