pr_auc,roc_auc,f1_macro,n_pos,n,pos_rate,oblast,oblast_id,horizon,threshold,active
0.3215877387449417,0.8046641064173207,0.48605333985808663,226,4201,0.053796716034412384,Zakarpattia,25,4,0.55,True
0.265180098220729,0.7818901319084989,0.48617906066536204,226,4201,0.053796716034412384,Zakarpattia,25,5,0.55,True
0.21112603551296166,0.7541592920353982,0.48617906066536204,226,4201,0.053796716034412384,Zakarpattia,25,6,0.5800000000000001,True
0.532878702533756,0.5999780014299071,0.36236822467835533,1881,4201,0.4477505385875702,Zaporizhzhia,26,1,0.6,True
0.44662467767773717,0.4995625492676309,0.3160038850835552,1881,4201,0.4477505385875702,Zaporizhzhia,26,2,0.59,True
0.4447710608923226,0.4931686419549396,0.3152757096081621,1881,4201,0.4477505385875702,Zaporizhzhia,26,3,0.59,True
0.4606352667954165,0.5076049744266622,0.31144910082216104,1881,4201,0.4477505385875702,Zaporizhzhia,26,4,0.55,True
0.4666582655001355,0.5219692768157526,0.3113344637217728,1880,4201,0.44751250743865967,Zaporizhzhia,26,5,0.55,True
0.4623160935883306,0.5223018914802026,0.3108755485601092,1879,4201,0.44727444648742676,Zaporizhzhia,26,6,0.5800000000000001,True
0.3631536568979177,0.7703815185085111,0.6564898817646666,500,4201,0.1190192848443985,Zhytomyr,27,1,0.6,True
0.195846545382009,0.6262977573628747,0.5679427692440501,500,4201,0.1190192848443985,Zhytomyr,27,2,0.59,True
0.18289533785404266,0.5990888948932722,0.539104076091385,500,4201,0.1190192848443985,Zhytomyr,27,3,0.59,True
0.17489633460788367,0.5934404215077006,0.5453578035297026,500,4201,0.1190192848443985,Zhytomyr,27,4,0.55,True
0.16750467325087914,0.5943521294344496,0.5442473659023255,499,4201,0.11878124624490738,Zhytomyr,27,5,0.55,True
0.16200520045163574,0.589922205701011,0.5003457060321811,498,4201,0.11854320764541626,Zhytomyr,27,6,0.5800000000000001,True
